zone,method,greaterThanKg,lessThanKg,rateAud
Zone 4: UK & Europe,International Express (3kg),2.501,3.001,101.25
Zone 4: UK & Europe,International Express (3.5kg),3.001,3.501,108.75
Zone 4: UK & Europe,International Express (4kg),3.501,4.001,116.25
Zone 4: UK & Europe,International Express (4.5kg),4.001,4.501,123.75
Zone 4: UK & Europe,International Express (5kg),4.501,5.001,131.25
Zone 5: Rest of the World,International Standard,0,0.251,30.95
Zone 5: Rest of the World,International Standard (500g),0.251,0.501,39.35
Zone 5: Rest of the World,International Standard (1kg),0.501,1.001,56.15
Zone 5: Rest of the World,International Standard (1.5kg),1.001,1.501,72.95
Zone 5: Rest of the World,International Standard (2kg),1.501,2.001,89.75
Zone 5: Rest of the World,International Standard (2.5kg),2.001,2.501,99.85
Zone 5: Rest of the World,International Standard (3kg),2.501,3.001,109.95
Zone 5: Rest of the World,International Standard (3.5kg),3.001,3.501,120.05
Zone 5: Rest of the World,International Standard (4kg),3.501,4.001,130.15
Zone 5: Rest of the World,International Standard (4.5kg),4.001,4.501,140.25
Zone 5: Rest of the World,International Standard (5kg),4.501,5.001,150.35
Zone 5: Rest of the World,International Express,0,0.251,45.95
Zone 5: Rest of the World,International Express (500g),0.251,0.501,54.35
Zone 5: Rest of the World,International Express (1kg),0.501,1.001,71.15
Zone 5: Rest of the World,International Express (1.5kg),1.001,1.501,87.95
Zone 5: Rest of the World,International Express (2kg),1.501,2.001,104.75
Zone 5: Rest of the World,International Express (2.5kg),2.001,2.501,114.85
Zone 5: Rest of the World,International Express (3kg),2.501,3.001,124.95
Zone 5: Rest of the World,International Express (3.5kg),3.001,3.501,135.05
Zone 5: Rest of the World,International Express (4kg),3.501,4.001,145.15
Zone 5: Rest of the World,International Express (4.5kg),4.001,4.501,155.25
Zone 5: Rest of the World,International Express (5kg),4.501,5.001,165.35
